"name.player","id.player","team","id.team","is.active_player","seasons.played","year.from","year.to","name.last","name.first","display_first_last","code.player","city.team","name.team","stem.team","code.team","games_played_flag","url.player"
"Alaa Abdelnaby",1880,NA,1,FALSE,4,1990,1994,"Abdelnaby"," Alaa","Alaa Abdelnaby","HISTADD_alaa_abdelnaby",NA,NA,NA,NA,"Y","1880http://stats.nba.com/player/#!/"
"Zaid Abdul-Aziz",1881,NA,1,FALSE,9,1968,1977,"Abdul-Aziz"," Zaid","Zaid Abdul-Aziz","HISTADD_zaid_abdul-aziz",NA,NA,NA,NA,"Y","1881http://stats.nba.com/player/#!/"
"Kareem Abdul-Jabbar",1882,NA,1,FALSE,19,1969,1988,"Abdul-Jabbar"," Kareem","Kareem Abdul-Jabbar","HISTADD_kareem_abdul-jabbar",NA,NA,NA,NA,"Y","1882http://stats.nba.com/player/#!/"
"Mahmoud Abdul-Rauf",1774,NA,1,FALSE,10,1990,2000,"Abdul-Rauf"," Mahmoud","Mahmoud Abdul-Rauf","HISTADD_mahmoud_abdul-rauf",NA,NA,NA,NA,"Y","1774http://stats.nba.com/player/#!/"
"Tariq Abdul-Wahad",234,NA,1,FALSE,6,1997,2003,"Abdul-Wahad"," Tariq","Tariq Abdul-Wahad","tariq_abdul-wahad",NA,NA,NA,NA,"Y","234http://stats.nba.com/player/#!/"
"Shareef Abdur-Rahim",4101,NA,1,FALSE,11,1996,2007,"Abdur-Rahim"," Shareef","Shareef Abdur-Rahim","shareef_abdur-rahim",NA,NA,NA,NA,"Y","4101http://stats.nba.com/player/#!/"
"Tom Abernethy",1883,NA,1,FALSE,4,1976,1980,"Abernethy"," Tom","Tom Abernethy","HISTADD_tom_abernethy",NA,NA,NA,NA,"Y","1883http://stats.nba.com/player/#!/"
"Forest Able",1884,NA,1,FALSE,0,1956,1956,"Able"," Forest","Forest Able","HISTADD_frosty_able",NA,NA,NA,NA,"Y","1884http://stats.nba.com/player/#!/"
"John Abramovic",1885,NA,1,FALSE,1,1946,1947,"Abramovic"," John","John Abramovic","HISTADD_brooms_abramovic",NA,NA,NA,NA,"Y","1885http://stats.nba.com/player/#!/"
"Alex Abrines",1179,NA,1,FALSE,0,2016,2016,"Abrines"," Alex","Alex Abrines","alex_abrines",NA,NA,NA,NA,"Y","1179http://stats.nba.com/player/#!/"
"Alex Acker",65,NA,1,FALSE,3,2005,2008,"Acker"," Alex","Alex Acker","alex_acker",NA,NA,NA,NA,"Y","65http://stats.nba.com/player/#!/"
"Donald Ackerman",1886,NA,1,FALSE,0,1953,1953,"Ackerman"," Donald","Donald Ackerman","HISTADD_buddy_ackerman",NA,NA,NA,NA,"Y","1886http://stats.nba.com/player/#!/"
"Mark Acres",1887,NA,1,FALSE,5,1987,1992,"Acres"," Mark","Mark Acres","HISTADD_mark_acres",NA,NA,NA,NA,"Y","1887http://stats.nba.com/player/#!/"
"Charles Acton",1888,NA,1,FALSE,0,1967,1967,"Acton"," Charles","Charles Acton","HISTADD_bud_acton",NA,NA,NA,NA,"Y","1888http://stats.nba.com/player/#!/"
"Quincy Acy",1077,"27 13",23,TRUE,4,2012,2016,"Acy"," Quincy","Quincy Acy","quincy_acy",27,13,27,13,"Y","1077http://stats.nba.com/player/#!/"
"Alvan Adams",1889,NA,1,FALSE,12,1975,1987,"Adams"," Alvan","Alvan Adams","HISTADD_alvan_adams",NA,NA,NA,NA,"Y","1889http://stats.nba.com/player/#!/"
"Don Adams",1890,NA,1,FALSE,6,1970,1976,"Adams"," Don","Don Adams","HISTADD_don_adams",NA,NA,NA,NA,"Y","1890http://stats.nba.com/player/#!/"
"Hassan Adams",662,NA,1,FALSE,2,2006,2008,"Adams"," Hassan","Hassan Adams","hassan_adams",NA,NA,NA,NA,"Y","662http://stats.nba.com/player/#!/"
"Jordan Adams",1229,"16 8",28,TRUE,1,2014,2015,"Adams"," Jordan","Jordan Adams","jordan_adams",16,8,16,8,"Y","1229http://stats.nba.com/player/#!/"
"Michael Adams",222,NA,1,FALSE,10,1985,1995,"Adams"," Michael","Michael Adams","HISTADD_michael_adams",NA,NA,NA,NA,"Y","222http://stats.nba.com/player/#!/"
"Steven Adams",1164,"22 27",25,TRUE,3,2013,2016,"Adams"," Steven","Steven Adams","steven_adams",22,27,22,28,"Y","1164http://stats.nba.com/player/#!/"
"Rafael Addison",4068,NA,1,FALSE,10,1986,1996,"Addison"," Rafael","Rafael Addison","HISTADD_rafael_addison",NA,NA,NA,NA,"Y","4068http://stats.nba.com/player/#!/"
"Rick Adelman",1891,NA,1,FALSE,6,1968,1974,"Adelman"," Rick","Rick Adelman","HISTADD_rick_adelman",NA,NA,NA,NA,"Y","1891http://stats.nba.com/player/#!/"
"Jeff Adrien",957,NA,1,FALSE,4,2010,2014,"Adrien"," Jeff","Jeff Adrien","jeff_adrien",NA,NA,NA,NA,"Y","957http://stats.nba.com/player/#!/"
"Arron Afflalo",718,"21 14",17,TRUE,9,2007,2016,"Afflalo"," Arron","Arron Afflalo","arron_afflalo",21,14,21,14,"Y","718http://stats.nba.com/player/#!/"
"Maurice Ager",640,NA,1,FALSE,4,2006,2010,"Ager"," Maurice","Maurice Ager","maurice_ager",NA,NA,NA,NA,"Y","640http://stats.nba.com/player/#!/"
"Mark Aguirre",1892,NA,1,FALSE,12,1981,1993,"Aguirre"," Mark","Mark Aguirre","HISTADD_mark_aguirre",NA,NA,NA,NA,"Y","1892http://stats.nba.com/player/#!/"
"Blake Ahearn",755,NA,1,FALSE,4,2007,2011,"Ahearn"," Blake","Blake Ahearn","blake_ahearn",NA,NA,NA,NA,"Y","755http://stats.nba.com/player/#!/"
"Danny Ainge",1893,NA,1,FALSE,13,1981,1994,"Ainge"," Danny","Danny Ainge","HISTADD_danny_ainge",NA,NA,NA,NA,"Y","1893http://stats.nba.com/player/#!/"
"Alexis Ajinca",776,"20 21",5,TRUE,8,2008,2016,"Ajinca"," Alexis","Alexis Ajinca","alexis_ajinca",20,21,20,21,"Y","776http://stats.nba.com/player/#!/"
"Henry Akin",1894,NA,1,FALSE,1,1966,1967,"Akin"," Henry","Henry Akin","HISTADD_henry_akin",NA,NA,NA,NA,"Y","1894http://stats.nba.com/player/#!/"
"Josh Akognon",1039,NA,1,FALSE,0,2012,2012,"Akognon"," Josh","Josh Akognon","Josh_Akognon",NA,NA,NA,NA,"Y","1039http://stats.nba.com/player/#!/"
"Solomon Alabi",939,NA,1,FALSE,1,2010,2011,"Alabi"," Solomon","Solomon Alabi","solomon_alabi",NA,NA,NA,NA,"Y","939http://stats.nba.com/player/#!/"
"Mark Alarie",1895,NA,1,FALSE,4,1986,1990,"Alarie"," Mark","Mark Alarie","HISTADD_mark_alarie",NA,NA,NA,NA,"Y","1895http://stats.nba.com/player/#!/"
"Gary Alcorn",1896,NA,1,FALSE,1,1959,1960,"Alcorn"," Gary","Gary Alcorn","HISTADD_gary_alcorn",NA,NA,NA,NA,"Y","1896http://stats.nba.com/player/#!/"
"Furkan Aldemir",1091,NA,1,FALSE,0,2014,2014,"Aldemir"," Furkan","Furkan Aldemir","furkan_aldemir",NA,NA,NA,NA,"Y","1091http://stats.nba.com/player/#!/"
"Cole Aldrich",904,"14 7",11,TRUE,6,2010,2016,"Aldrich"," Cole","Cole Aldrich","cole_aldrich",14,7,14,7,"Y","904http://stats.nba.com/player/#!/"
"Lamarcus Aldridge",614,"28 25",24,TRUE,10,2006,2016,"Aldridge"," LaMarcus","LaMarcus Aldridge","lamarcus_aldridge",28,25,28,26,"Y","614http://stats.nba.com/player/#!/"
"Chuck Aleksinas",1897,NA,1,FALSE,0,1984,1984,"Aleksinas"," Chuck","Chuck Aleksinas","HISTADD_chuck_aleksinas",NA,NA,NA,NA,"Y","1897http://stats.nba.com/player/#!/"
"Cliff Alexander",302,"26 29",22,TRUE,0,2015,2015,"Alexander"," Cliff","Cliff Alexander","cliff_alexander",26,29,26,2,"Y","302http://stats.nba.com/player/#!/"
"Cory Alexander",1857,NA,1,FALSE,9,1995,2004,"Alexander"," Cory","Cory Alexander","cory_alexander",NA,NA,NA,NA,"Y","1857http://stats.nba.com/player/#!/"
"Courtney Alexander",1292,NA,1,FALSE,3,2000,2003,"Alexander"," Courtney","Courtney Alexander","courtney_alexander",NA,NA,NA,NA,"Y","1292http://stats.nba.com/player/#!/"
"Gary Alexander",1898,NA,1,FALSE,0,1993,1993,"Alexander"," Gary","Gary Alexander","HISTADD_gary_alexander",NA,NA,NA,NA,"Y","1898http://stats.nba.com/player/#!/"
"Joe Alexander",764,NA,1,FALSE,1,2008,2009,"Alexander"," Joe","Joe Alexander","joe_alexander",NA,NA,NA,NA,"Y","764http://stats.nba.com/player/#!/"
"Victor Alexander",1420,NA,1,FALSE,10,1991,2001,"Alexander"," Victor","Victor Alexander","HISTADD_victor_alexander",NA,NA,NA,NA,"Y","1420http://stats.nba.com/player/#!/"
"Steve Alford",1899,NA,1,FALSE,3,1987,1990,"Alford"," Steve","Steve Alford","HISTADD_steve_alford",NA,NA,NA,NA,"Y","1899http://stats.nba.com/player/#!/"
"Bob Allen",1902,NA,1,FALSE,0,1968,1968,"Allen"," Bob","Bob Allen","HISTADD_bob_allen",NA,NA,NA,NA,"Y","1902http://stats.nba.com/player/#!/"
"Jerome Allen",1837,NA,1,FALSE,1,1995,1996,"Allen"," Jerome","Jerome Allen","HISTADD_jerome_allen",NA,NA,NA,NA,"Y","1837http://stats.nba.com/player/#!/"
"Lavoy Allen",1018,"13 20",19,TRUE,5,2011,2016,"Allen"," Lavoy","Lavoy Allen","lavoy_allen",13,20,13,20,"Y","1018http://stats.nba.com/player/#!/"
"Lucius Allen",1901,NA,1,FALSE,9,1969,1978,"Allen"," Lucius","Lucius Allen","HISTADD_lucius_allen",NA,NA,NA,NA,"Y","1901http://stats.nba.com/player/#!/"
"Malik Allen",1345,NA,1,FALSE,9,2001,2010,"Allen"," Malik","Malik Allen","malik_allen",NA,NA,NA,NA,"Y","1345http://stats.nba.com/player/#!/"
"Randy Allen",1900,NA,1,FALSE,1,1988,1989,"Allen"," Randy","Randy Allen","HISTADD_randy_allen",NA,NA,NA,NA,"Y","1900http://stats.nba.com/player/#!/"
"Ray Allen",4104,NA,1,FALSE,17,1996,2013,"Allen"," Ray","Ray Allen","ray_allen",NA,NA,NA,NA,"Y","4104http://stats.nba.com/player/#!/"
"Tony Allen",1608,"16 8",28,TRUE,12,2004,2016,"Allen"," Tony","Tony Allen","tony_allen",16,8,16,8,"Y","1608http://stats.nba.com/player/#!/"
"Odis Allison",1903,NA,1,FALSE,0,1971,1971,"Allison"," Odis","Odis Allison","HISTADD_odis_allison",NA,NA,NA,NA,"Y","1903http://stats.nba.com/player/#!/"
"Lance Allred",688,NA,1,FALSE,0,2007,2007,"Allred"," Lance","Lance Allred","lance_allred",NA,NA,NA,NA,"Y","688http://stats.nba.com/player/#!/"
"Darrell Allums",1904,NA,1,FALSE,0,1980,1980,"Allums"," Darrell","Darrell Allums","HISTADD_darrell_allums",NA,NA,NA,NA,"Y","1904http://stats.nba.com/player/#!/"
"Morris Almond",716,NA,1,FALSE,4,2007,2011,"Almond"," Morris","Morris Almond","morris_almond",NA,NA,NA,NA,"Y","716http://stats.nba.com/player/#!/"
"Derrick Alston",1673,NA,1,FALSE,2,1994,1996,"Alston"," Derrick","Derrick Alston","HISTADD_derrick_alston",NA,NA,NA,NA,"Y","1673http://stats.nba.com/player/#!/"
"Rafer Alston",477,NA,1,FALSE,10,1999,2009,"Alston"," Rafer","Rafer Alston","rafer_alston",NA,NA,NA,NA,"Y","477http://stats.nba.com/player/#!/"
"Peter Aluma",513,NA,1,FALSE,0,1998,1998,"Aluma"," Peter","Peter Aluma","HISTADD_peter_aluma",NA,NA,NA,NA,"Y","513http://stats.nba.com/player/#!/"
"John Amaechi",1809,NA,1,FALSE,7,1995,2002,"Amaechi"," John","John Amaechi","john_amaechi",NA,NA,NA,NA,"Y","1809http://stats.nba.com/player/#!/"
"Ashraf Amaya",1866,NA,1,FALSE,1,1995,1996,"Amaya"," Ashraf","Ashraf Amaya","HISTADD_ashraf_amaya",NA,NA,NA,NA,"Y","1866http://stats.nba.com/player/#!/"
"Alfarouq Aminu",901,"26 29",22,TRUE,6,2010,2016,"Aminu"," AlFarouq","Al-Farouq Aminu","al-farouq_aminu",26,29,26,2,"Y","901http://stats.nba.com/player/#!/"
"Lou Amundson",667,"21 14",17,TRUE,9,2006,2015,"Amundson"," Lou","Lou Amundson","lou_amundson",21,14,21,14,"Y","667http://stats.nba.com/player/#!/"
"Bob Anderegg",1905,NA,1,FALSE,0,1959,1959,"Anderegg"," Bob","Bob Anderegg","HISTADD_bob_anderegg",NA,NA,NA,NA,"Y","1905http://stats.nba.com/player/#!/"
"Chris Andersen",1425,"16 8",28,TRUE,15,2001,2016,"Andersen"," Chris","Chris Andersen","chris_andersen",16,8,16,8,"Y","1425http://stats.nba.com/player/#!/"
"David Andersen",1469,NA,1,FALSE,1,2009,2010,"Andersen"," David","David Andersen","david_andersen",NA,NA,NA,NA,"Y","1469http://stats.nba.com/player/#!/"
"Alan Anderson",76,"31 31",29,TRUE,11,2005,2016,"Anderson"," Alan","Alan Anderson","alan_anderson",31,31,31,31,"Y","76http://stats.nba.com/player/#!/"
"Antonio Anderson",879,NA,1,FALSE,0,2009,2009,"Anderson"," Antonio","Antonio Anderson","antonio_anderson",NA,NA,NA,NA,"Y","879http://stats.nba.com/player/#!/"
"Cliff Anderson",1906,NA,1,FALSE,3,1967,1970,"Anderson"," Cliff","Cliff Anderson","HISTADD_cliff_anderson",NA,NA,NA,NA,"Y","1906http://stats.nba.com/player/#!/"
"Daniel Anderson",1907,NA,1,FALSE,1,1974,1975,"Anderson"," Daniel","Daniel Anderson","HISTADD_daniel_anderson",NA,NA,NA,NA,"Y","1907http://stats.nba.com/player/#!/"
"Derek Anderson",236,NA,1,FALSE,10,1997,2007,"Anderson"," Derek","Derek Anderson","derek_anderson",NA,NA,NA,NA,"Y","236http://stats.nba.com/player/#!/"
"Dwight Anderson",1908,NA,1,FALSE,0,1982,1982,"Anderson"," Dwight","Dwight Anderson","HISTADD_dwight_anderson",NA,NA,NA,NA,"Y","1908http://stats.nba.com/player/#!/"
"Eric Anderson",4098,NA,1,FALSE,1,1992,1993,"Anderson"," Eric","Eric Anderson","HISTADD_eric_anderson",NA,NA,NA,NA,"Y","4098http://stats.nba.com/player/#!/"
"Greg Anderson",1490,NA,1,FALSE,10,1987,1997,"Anderson"," Greg","Greg Anderson","HISTADD_greg_anderson",NA,NA,NA,NA,"Y","1490http://stats.nba.com/player/#!/"
"James Anderson",913,"27 13",23,TRUE,5,2010,2015,"Anderson"," James","James Anderson","james_anderson",27,13,27,13,"Y","913http://stats.nba.com/player/#!/"
"Jerome Anderson",1909,NA,1,FALSE,1,1975,1976,"Anderson"," Jerome","Jerome Anderson","HISTADD_jerome_anderson",NA,NA,NA,NA,"Y","1909http://stats.nba.com/player/#!/"
"Justin Anderson",303,"8 17",7,TRUE,1,2015,2016,"Anderson"," Justin","Justin Anderson","justin_anderson",8,17,8,17,"Y","303http://stats.nba.com/player/#!/"
"Kenny Anderson",1852,NA,1,FALSE,13,1991,2004,"Anderson"," Kenny","Kenny Anderson","kenny_anderson",NA,NA,NA,NA,"Y","1852http://stats.nba.com/player/#!/"
"Kim Anderson",1910,NA,1,FALSE,0,1978,1978,"Anderson"," Kim","Kim Anderson","HISTADD_kim_anderson",NA,NA,NA,NA,"Y","1910http://stats.nba.com/player/#!/"
"Kyle Anderson",1242,"28 25",24,TRUE,2,2014,2016,"Anderson"," Kyle","Kyle Anderson","kyle_anderson",28,25,28,26,"Y","1242http://stats.nba.com/player/#!/"
"Michael Anderson",1911,NA,1,FALSE,0,1988,1988,"Anderson"," Michael","Michael Anderson","HISTADD_michael_anderson",NA,NA,NA,NA,"Y","1911http://stats.nba.com/player/#!/"
"Mitchell Anderson",1912,NA,1,FALSE,2,1982,1984,"Anderson"," Mitchell","Mitchell Anderson","HISTADD_jj_anderson",NA,NA,NA,NA,"Y","1912http://stats.nba.com/player/#!/"
"Nick Anderson",4131,NA,1,FALSE,13,1989,2002,"Anderson"," Nick","Nick Anderson","HISTADD_nick_anderson",NA,NA,NA,NA,"Y","4131http://stats.nba.com/player/#!/"
"Richard Anderson",1913,NA,1,FALSE,7,1982,1989,"Anderson"," Richard","Richard Anderson","HISTADD_richard_anderson",NA,NA,NA,NA,"Y","1913http://stats.nba.com/player/#!/"
"Ron Anderson",1914,NA,1,FALSE,9,1984,1993,"Anderson"," Ron","Ron Anderson","HISTADD_ron_anderson",NA,NA,NA,NA,"Y","1914http://stats.nba.com/player/#!/"
"Ryan Anderson",777,"20 21",5,TRUE,8,2008,2016,"Anderson"," Ryan","Ryan Anderson","ryan_j_anderson",20,21,20,21,"Y","777http://stats.nba.com/player/#!/"
"Shandon Anderson",2,NA,1,FALSE,9,1996,2005,"Anderson"," Shandon","Shandon Anderson","shandon_anderson",NA,NA,NA,NA,"Y","2http://stats.nba.com/player/#!/"
"Willie Anderson",1687,NA,1,FALSE,8,1988,1996,"Anderson"," Willie","Willie Anderson","HISTADD_willie_anderson",NA,NA,NA,NA,"Y","1687http://stats.nba.com/player/#!/"
"Wally Anderzunas",1915,NA,1,FALSE,0,1969,1969,"Anderzunas"," Wally","Wally Anderzunas","HISTADD_wally_anderzunas",NA,NA,NA,NA,"Y","1915http://stats.nba.com/player/#!/"
"Martynas Andriuskevicius",53,NA,1,FALSE,1,2005,2006,"Andriuskevicius"," Martynas","Martynas Andriuskevicius","martynas_andriuskevicius",NA,NA,NA,NA,"Y","53http://stats.nba.com/player/#!/"
"Don Anielak",1916,NA,1,FALSE,0,1954,1954,"Anielak"," Don","Don Anielak","HISTADD_don_anielak",NA,NA,NA,NA,"Y","1916http://stats.nba.com/player/#!/"
"Michael Ansley",1917,NA,1,FALSE,2,1989,1991,"Ansley"," Michael","Michael Ansley","HISTADD_michael_ansley",NA,NA,NA,NA,"Y","1917http://stats.nba.com/player/#!/"
"Chris Anstey",241,NA,1,FALSE,2,1997,1999,"Anstey"," Chris","Chris Anstey","HISTADD_chris_anstey",NA,NA,NA,NA,"Y","241http://stats.nba.com/player/#!/"
